#SampleID	common_name	sample_type	collection_date	conservation_status	depth_high_range_m	depth_low_range_m	Depth_m	Diet	dist_to_dorsal_cm	distance_from_shore_m	distance_from_shore_m_log	evo_distanceto_mackerel_median_mya	evo_timetree_species_name	fish_collection_method	fl_cm	gape_cm	gi_cm	hab_notes	habitat_depth_level2	host_body_mass_index	host_common_name	host_height	host_height_vs_max_height_tl	host_scientific_name	host_subject_id	host_taxid	host_weight	mass_g	max_age	max_kg_grams	max_length_cm	max_tl_cm	method_gear	month	number_db	p_family	p_genus	p_genus_species_alternative	p_order	ratio_dorsal_to_tl	ratio_gape_to_tl	ratio_gi_to_tl	sample_type_descriptive	SAMPLE_TYPE	substrata_collection	swim_mode	swim_performance	tl_cm	trophic	p_genus_species
13414.1.gill.R1.fastq.gz	kelp bass	gill	2019-07-27	LC	61	1	3	fish_ squid_ invertebrates	11.8	24	1.380211242	116	Paralabrax	spear	35.9	5.2	56	not applicable	neritic	1.380315501	kelp bass	36	50	Paralabrax clathratus	FMP_1	172714	644	644	34	7	72.1	72	spear	7	296	Serranidae	Paralabrax	Paralabrax clathratus	Perciformes	0.327777778	0.144444444	1.555555556	gill tissue	fish gill	rocky reef	Subcarangiform	generalist	36	3	Paralabrax clathratus
13414.1.hg.R1.fastq.gz	kelp bass	hindgut	2019-07-27	LC	61	1	3	fish_ squid_ invertebrates	11.8	24	1.380211242	116	Paralabrax	spear	35.9	5.2	56	not applicable	neritic	1.380315501	kelp bass	36	50	Paralabrax clathratus	FMP_1	172714	644	644	34	7	72.1	72	spear	7	296	Serranidae	Paralabrax	Paralabrax clathratus	Perciformes	0.327777778	0.144444444	1.555555556	hindgut digesta	fish hindgut digesta	rocky reef	Subcarangiform	generalist	36	3	Paralabrax clathratus
13414.1.midgut.R1.fastq.gz	kelp bass	midgut	2019-07-27	LC	61	1	3	fish_ squid_ invertebrates	11.8	24	1.380211242	116	Paralabrax	spear	35.9	5.2	56	not applicable	neritic	1.380315501	kelp bass	36	50	Paralabrax clathratus	FMP_1	172714	644	644	34	7	72.1	72	spear	7	296	Serranidae	Paralabrax	Paralabrax clathratus	Perciformes	0.327777778	0.144444444	1.555555556	midgut digesta	fish midgut digesta	rocky reef	Subcarangiform	generalist	36	3	Paralabrax clathratus
13414.1.skin.R1.fastq.gz	kelp bass	skin	2019-07-27	LC	61	1	3	fish_ squid_ invertebrates	11.8	24	1.380211242	116	Paralabrax	spear	35.9	5.2	56	not applicable	neritic	1.380315501	kelp bass	36	50	Paralabrax clathratus	FMP_1	172714	644	644	34	7	72.1	72	spear	7	296	Serranidae	Paralabrax	Paralabrax clathratus	Perciformes	0.327777778	0.144444444	1.555555556	skin swab	fish skin	rocky reef	Subcarangiform	generalist	36	3	Paralabrax clathratus
13414.10.gill.R1.fastq.gz	sargo	gill	2019-06-29	LC	40	0	3	crustaceans_ mollusks_ bryozoans	7.3	103	2.012837225	116	Anisotremus virginicus	spear	23.5	2	32	not applicable	neritic	1.652456446	sargo	25.5	44	Anisotremus davidsonii	FMP_10	314002	274	274	15	not applicable	60	58	spear	6	298	Haemulidae	Anisotremus	Anisotremus davidsonii	Perciformes	0.28627451	0.078431373	1.254901961	gill tissue	fish gill	rocky reef	Embiotociform	manoeuvrer	25.5	2	Anisotremus davidsonii
13414.10.hg.R1.fastq.gz	sargo	hindgut	2019-06-29	LC	40	0	3	crustaceans_ mollusks_ bryozoans	7.3	103	2.012837225	116	Anisotremus virginicus	spear	23.5	2	32	not applicable	neritic	1.652456446	sargo	25.5	44	Anisotremus davidsonii	FMP_10	314002	274	274	15	not applicable	60	58	spear	6	298	Haemulidae	Anisotremus	Anisotremus davidsonii	Perciformes	0.28627451	0.078431373	1.254901961	hindgut digesta	fish hindgut digesta	rocky reef	Embiotociform	manoeuvrer	25.5	2	Anisotremus davidsonii
13414.10.midgut.R1.fastq.gz	sargo	midgut	2019-06-29	LC	40	0	3	crustaceans_ mollusks_ bryozoans	7.3	103	2.012837225	116	Anisotremus virginicus	spear	23.5	2	32	not applicable	neritic	1.652456446	sargo	25.5	44	Anisotremus davidsonii	FMP_10	314002	274	274	15	not applicable	60	58	spear	6	298	Haemulidae	Anisotremus	Anisotremus davidsonii	Perciformes	0.28627451	0.078431373	1.254901961	midgut digesta	fish midgut digesta	rocky reef	Embiotociform	manoeuvrer	25.5	2	Anisotremus davidsonii
13414.10.skin.R1.fastq.gz	sargo	skin	2019-06-29	LC	40	0	3	crustaceans_ mollusks_ bryozoans	7.3	103	2.012837225	116	Anisotremus virginicus	spear	23.5	2	32	not applicable	neritic	1.652456446	sargo	25.5	44	Anisotremus davidsonii	FMP_10	314002	274	274	15	not applicable	60	58	spear	6	298	Haemulidae	Anisotremus	Anisotremus davidsonii	Perciformes	0.28627451	0.078431373	1.254901961	skin swab	fish skin	rocky reef	Embiotociform	manoeuvrer	25.5	2	Anisotremus davidsonii
13414.100.g.R1.fastq.gz	longjaw mudsucker	gill	2020-08-20	LC	5	0	1	crustaceans_ worms	4.2	30	1.477121255	116	Gillichthys mirabilis	hook and line	12	2	13.4	"mud, sandy bottom,"	intertidal	0.891435185	longjaw mudsucker	12	57	Gillichthys mirabilis	FMP_100	8222	15.404	15.404	2	not applicable	21	21	rod and reel	8	334	Gobiidae	Gillichthys	Gillichthys mirabilis	Gobiiformes	0.35	0.166666667	1.116666667	gill tissue	fish gill	sandy mud bottom	Cottiform	accelerator	12	2	Gillichthys mirabilis
13414.100.hg.R1.fastq.gz	longjaw mudsucker	hindgut	2020-08-20	LC	5	0	1	crustaceans_ worms	4.2	30	1.477121255	116	Gillichthys mirabilis	hook and line	12	2	13.4	"mud, sandy bottom,"	intertidal	0.891435185	longjaw mudsucker	12	57	Gillichthys mirabilis	FMP_100	8222	15.404	15.404	2	not applicable	21	21	rod and reel	8	334	Gobiidae	Gillichthys	Gillichthys mirabilis	Gobiiformes	0.35	0.166666667	1.116666667	hindgut digesta	fish hindgut digesta	sandy mud bottom	Cottiform	accelerator	12	2	Gillichthys mirabilis
