"anat_space_combine"	"level"	"taxon"	"stat"	"p.value"
"Ocean_External"	"Genus"	"Ichthyophonidae"	0.308606699924184	0.02
"Ocean_External"	"Class"	"Actinopterygii"	0.39524997155836	0.01
"Ocean_External"	"Genus"	"Colidextribacter"	0.356371715063042	0.015
"Ocean_External"	"Family"	"Ruminococcaceae"	0.350949991007383	0.025
"Ocean_External"	"Genus"	"Anaerofilum"	0.42073854636917	0.005
"Ocean_External"	"Genus"	"Angelakisella"	0.308606699924184	0.02
"Ocean_External"	"Genus"	"Clostridia_UCG-014"	0.279047501874114	0.03
"Ocean_External"	"Genus"	"Anaerovorax"	0.442294476524269	0.005
"Ocean_External"	"Class"	"Bacilli"	0.582482372510718	0.005
"Ocean_External"	"Genus"	"Candidatus_Hepatoplasma"	0.426049364821663	0.005
"Ocean_External"	"Genus"	"[Anaerorhabdus]_furcosa_group"	0.441272406359388	0.005
"Ocean_External"	"Family"	"Mycoplasmataceae"	0.345106640729551	0.045
"Ocean_External"	"Family"	"Lachnospiraceae"	0.362786179391768	0.01
"Ocean_External"	"Genus"	"P.palmC41"	0.267261241912424	0.02
"Ocean_External"	"Genus"	"Brevinema"	0.562905664951678	0.015
"Ocean_External"	"Genus"	"PAUC43f_marine_benthic_group"	0.535113677577812	0.005
"Ocean_External"	"Class"	"Thermodesulfovibrionia"	0.422577127364258	0.005
"Ocean_External"	"Genus"	"Persicirhabdus"	0.516826643497569	0.005
"Ocean_External"	"Family"	"Anaerolineaceae"	0.681736065341271	0.005
"Ocean_External"	"Genus"	"Raoultibacter"	0.299948249828738	0.035
"Ocean_External"	"Order"	"Actinomarinales"	0.589224944593943	0.005
"Ocean_External"	"Genus"	"Actinomyces"	0.347780611724275	0.015
"Ocean_External"	"Genus"	"Nitrospira"	0.318798931660247	0.03
"Ocean_External"	"Genus"	"Coraliomargarita"	0.365348483689039	0.025
"Ocean_External"	"Family"	"Arcobacteraceae"	0.408948428493788	0.025
"Ocean_External"	"Domain"	"Bacteria"	0.614739245874788	0.005
"Ocean_External"	"Genus"	"Subgroup_9"	0.340375190808535	0.02
"Ocean_External"	"Genus"	"Subgroup_21"	0.327326835353989	0.01
"Ocean_External"	"Genus"	"Subgroup_17"	0.318365656123821	0.01
"Ocean_External"	"Genus"	"P9X2b3D02"	0.582482372510718	0.005
"Ocean_External"	"Genus"	"Schekmanbacteria"	0.400891862868637	0.005
"Ocean_External"	"Genus"	"WCHB1-81"	0.353553390593274	0.005
"Ocean_External"	"Genus"	"Bacteroidetes_BD2-2"	0.542282661059555	0.005
"Ocean_External"	"Genus"	"Roseimarinus"	0.400891862868637	0.005
"Ocean_External"	"Family"	"Marinifilaceae"	0.231455024943138	0.025
"Ocean_External"	"Order"	"Bacteroidales"	0.355026223958927	0.01
"Ocean_External"	"Family"	"Flavobacteriaceae"	0.513211164080826	0.005
"Ocean_External"	"Family"	"Flavobacteriaceae"	0.5758805463231	0.005
"Ocean_External"	"Family"	"Cyclobacteriaceae"	0.425467894174602	0.005
"Ocean_External"	"Family"	"Rhodothermaceae"	0.400891862868637	0.005
"Ocean_External"	"Genus"	"Sediminispirochaeta"	0.298807152333598	0.03
"Ocean_External"	"Genus"	"Treponema"	0.353701436054557	0.025
"Ocean_External"	"Genus"	"Subgroup_23"	0.47036399313536	0.005
"Ocean_External"	"Genus"	"Subgroup_10"	0.695950308880717	0.005
"Ocean_External"	"Family"	"Desulfovibrionaceae"	0.501523136909905	0.005
"Ocean_External"	"Genus"	"Desulfovibrio"	0.489059754224329	0.005
"Ocean_External"	"Genus"	"4572-13"	0.297087544975699	0.015
"Ocean_External"	"Genus"	"Rubripirellula"	0.58021341080988	0.025
"Ocean_External"	"Family"	"Pirellulaceae"	0.614416809990062	0.005
"Ocean_External"	"Genus"	"Pir4_lineage"	0.286797334626313	0.025
"Ocean_External"	"Genus"	"Rs-K70_termite_group"	0.269080666702623	0.045
